input,target_item,target_number,num_items,IOU,accuracy,score,run_time
1462060331,barkely_hide_bones,14,5,0.518653,0.963814,13.000000,13.258532
1462060331,kleenex_tissue_box,33,5,0.334908,0.997353,32.000000,13.258532
1462060331,laugh_out_loud_joke_book,2,5,0.190983,0.476468,1.000000,13.258532
1462060331,dr_browns_bottle_brush,21,5,0.363481,0.572150,20.000000,13.258532
1462060331,soft_white_lightbulb,18,5,0.289465,0.993859,17.000000,13.258532
1462061149,cherokee_easy_tee_shirt,11,2,0.354470,0.940367,10.000000,11.199108
1462061149,scotch_duct_tape,25,2,0.500172,0.955349,24.000000,11.199108
1462063609,creativity_chenille_stems,17,4,0.201305,0.711921,16.000000,11.891495
1462063609,crayola_24_ct,35,4,0.236592,0.936844,34.000000,11.891495
1462063609,scotch_duct_tape,25,4,0.000000,0.000000,24.000000,11.891495
1462063609,rolodex_jumbo_pencil_cup,29,4,0.000040,0.000239,28.000000,11.891495
